Designator,Mid X,Mid Y,Rotation,Layer
BT1,92.25,-82.0,180.0,top
C1,94.000001,-58.9,0.0,top
C10,84.0,-73.0,180.0,top
C11,86.75,-71.5,270.0,top
C12,116.5,-83.5,90.0,top
C13,114.0,-83.5,90.0,top
C14,102.5,-83.5,270.0,top
C15,119.0,-90.95,0.0,top
C16,106.0,-60.0,270.0,top
C17,103.5,-60.0,270.0,top
C18,79.25,-76.25,270.0,top
C19,97.0,-78.75,180.0,top
C2,98.7,-63.8,180.0,top
C3,89.6,-62.3,270.0,top
C4,100.3,-75.2,270.0,top
C5,102.7,-75.2,270.0,top
C6,92.8,-75.2,270.0,top
C7,90.400001,-75.2,270.0,top
C8,83.25,-79.5,180.0,top
C9,79.0,-81.75,0.0,top
D1,88.5,-58.8,180.0,top
D2,106.5,-81.25,180.0,top
FB1,84.3,-58.5,0.0,top
J1,76.2,-61.5,270.0,top
J2,116.25,-87.75,270.0,top
L1,98.9,-60.9,0.0,top
L2,96.6,-74.5,180.0,top
L3,106.5,-84.25,0.0,top
Q2,114.75,-79.75,180.0,top
Q3,111.0,-84.0,90.0,top
R1,84.3,-60.3,180.0,top
R10,104.75,-63.25,0.0,top
R11,110.75,-78.75,0.0,top
R12,123.250002,-80.0,90.0,top
R13,83.25,-81.0,0.0,top
R14,83.25,-82.5,180.0,top
R15,84.0,-71.5,180.0,top
R16,79.75,-79.5,180.0,top
R17,86.0,-76.5,270.0,top
R18,84.0,-70.0,0.0,top
R19,87.75,-80.0,180.0,top
R2,84.3,-64.8,0.0,top
R20,111.25,-81.0,180.0,top
R21,118.5,-80.0,270.0,top
R22,120.0,-80.0,90.0,top
R23,121.75,-80.0,270.0,top
R24,97.0,-84.75,180.0,top
R3,121.75,-83.925,90.0,top
R4,123.25,-83.925,90.0,top
R5,96.5,-65.9,180.0,top
R6,93.3,-65.9,180.0,top
R7,84.25,-61.75,180.0,top
R8,84.25,-63.25,0.0,top
R9,124.75,-80.0,270.0,top
SW1,126.75,-90.25,0.0,top
SW2,105.5,-90.25,0.0,top
U1,117.5,-64.0,0.0,top
U2,93.8,-62.1,0.0,top
U3,83.0,-76.5,270.0,top
U4,97.0,-81.75,0.0,top
